Rank,Title,Link,Img Link,All topics,Breaking news,Free Speech Week,Protest coverage,Sexual misconduct,Opinion
12,"UC Berkeley research fellow Michael Cohen, rising star in computer science, dies at 25",http://www.dailycal.org/2017/10/04/uc-berkeley-research-fellow-michael-cohen-rising-star-in-computer-science-dies-at-25/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/10/412346_252840668164070_176511152_o.jpg,y,,,,,
13,UC Berkeley student arrested in connection with city’s 1st homicide of 2017,http://www.dailycal.org/2017/01/07/suspect-large-berkeleys-first-homicide-year/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/01/gomez.jpg,y,,,,,
14,"UCLA beats UC Berkeley as No. 1 public university in US, ranking reports",http://www.dailycal.org/2017/09/06/ucla-beats-uc-berkeley-as-no-1-public-university-in-us-ranking-reports/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/09/rankings_michaeldrummond_file-copy.jpg,y,,,,,
15,Check your privilege when speaking of protests,http://www.dailycal.org/2017/02/07/check-privilege-speaking-protests/,http://i0.wp.com/www.dailycal.org/assets/uploads/2016/10/michael-drummond-file-crime-400x258.jpg,y,,,,,y
16,1 suspect arrested in connection with Milo Yiannopoulos protests at UC Berkeley,http://www.dailycal.org/2017/02/02/ucpd-arrests-1-suspect-connection-protests/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/02/mikaela1-900x580.jpg,y,,,y,,
17,Anti-Semitic caricature of Alan Dershowitz generates no criticism from UC Berkeley hard left,http://www.dailycal.org/2017/10/25/anti-semitic-caricature-alan-dershowitz-generates-no-criticism-uc-berkeley-hard-left/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/10/coloredited_ElaineChung_Dershowitz-900x580.jpg,y,,,,,y
18,Antifa aims to preserve safety of community through response,http://www.dailycal.org/2017/05/01/breaking-the-siege/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/04/coloredited_XinyuLi_antifa-900x580.png,y,,,,,y
19,"UC Berkeley looks back on dark history, abuse of Yahi man 106 years later",http://www.dailycal.org/2017/09/01/uc-berkeley-looks-back-on-dark-history-abuse-of-yahi-man-106-years-later/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/09/PSM_V86_D243_Ishi_at_the_present_time_1915-1-900x580.jpg,y,,,,,
20,Stuff I’ve shoved up my holes: Ranked,http://www.dailycal.org/2017/11/14/stuff-ive-shoved-holes-ranked/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/09/DSC_9769.jpg,y,,,,,y
21,Milo Yiannopoulos event canceled as violent protests erupt at UC Berkeley,http://www.dailycal.org/2017/02/01/milo-yiannopoulos-event-canceled-violent-protests-erupt-uc-berkeley/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/02/miloprotests_mikaela_raphael_staff-900x580.jpg,y,y,,y,,
22,Man resigns from Top Dog after seen at Charlottesville protests,http://www.dailycal.org/2017/08/13/man-attended-charlottesville-protests-no-longer-works-top-dog/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/08/IMG_7103-900x600.jpg,y,,,y,,
23,About 70 protest UC Berkeley professor Judith Butler’s conference in Brazil,http://www.dailycal.org/2017/11/08/protesters-gather-at-conference-organized-by-campus-professor-judith-butler-in-brazil/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/11/JudithButler_ucberkeley_cc-copy-1-290x450.jpg,y,,,,,
24,‘It’s rampant’: Documents reveal 124 cases of UC employees’ sex misconduct,http://www.dailycal.org/2017/02/28/its-rampant-documents-reveal-113-uc-employees-violated-sex-misconduct-policy-in-past-3-years/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/02/rain_etiquette_priyanka_karthikeyan_staff-900x580.jpg,y,,,,y,
25,Leaked ‘Finsta’ leads to changes in membership of UC Berkeley’s Chi Omega chapter,http://www.dailycal.org/2017/04/17/leaked-finsta-leads-changes-membership-uc-berkeleys-chi-omega-chapter/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/04/chi_catherine_wallin_staff-900x580.jpg,y,,,,,
26,UC Berkeley breaks world record for largest human letter,http://www.dailycal.org/2017/08/15/campus-breaks-world-record-for-largest-human-letter/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/08/worldrecord_ketkisamel_staff-900x580.jpg,y,,,,,
27,Clog report: UC Berkeley announces new ‘meme studies department’ for fall 2018,http://www.dailycal.org/2017/10/27/uc-berkeley-announces-new-meme-studies-department-fall-2018/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/10/Sproul_ZainabAli_file.jpg,y,,,,,
28,Violence helped ensure safety of students,http://www.dailycal.org/2017/02/07/violence-helped-ensure-safety-students/,http://i0.wp.com/www.dailycal.org/assets/uploads/2016/10/michael-drummond-file-crime-400x258.jpg,y,,,,,y
29,Berkeley students should organize protest against Milo Yiannopoulos,http://www.dailycal.org/2017/01/31/berkeley-students-organize-protest-milo-yiannopoulos/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/01/coloredited_Nishali-Naik_milo-900x580.jpg,y,,,,,y
30,UC Berkeley professors request cancellation of Milo Yiannopoulos talk,http://www.dailycal.org/2017/01/10/uc-berkeley-professors-request-cancellation-milo-yiannopoulos-talk/,http://i2.wp.com/www.dailycal.org/assets/uploads/2016/12/milo-yiannopoulos.jpg,y,,,y,,
31,UCPD releases list of banned items for potential demonstrations in response to canceled ‘Free Speech Week’,http://www.dailycal.org/2017/09/23/ucpd-releases-list-banned-items-potential-demonstrations-response-canceled-free-speech-week/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/04/miloprotests_mikaela_raphael_file-900x580.jpg,y,,y,,,
32,"UC Berkeley outranked by UCLA, UMich, UNC in new college ranking by Wall Street Journal",http://www.dailycal.org/2017/09/28/uc-berkeley-outranked-by-ucla-umich-unc-in-new-college-ranking-by-wall-street-journal/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/09/Campanile_AudreyMcNamara-file.jpg,y,,,,,
33,UC Berkeley ties with UCLA as No. 1 public school in US,http://www.dailycal.org/2017/09/11/uc-berkeley-ties-ucla-no-1-public-school-us/,http://i2.wp.com/www.dailycal.org/assets/uploads/2016/05/PhotoEssay_CampanileTrees-900x600.jpg,y,,,,,
34,"‘Failure to confirm’: Berkeley Patriot loses Zellerbach, Wheeler auditoriums for ‘Free Speech Week’",http://www.dailycal.org/2017/09/16/failure-confirm-berkeley-patriot-loses-zellerbach-wheeler-auditoriums-free-speech-week/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/09/miloyann_OFFICIAL-LEWEB-PHOTOS_cc-900x580.jpg,y,,y,,,
35,The rise of the campus meme,http://projects.dailycal.org/2017/meme-timeline/,http://projects.dailycal.org/2017/meme-timeline/images/area-chart-600.png,y,,,,,
36,"City of Berkeley: ‘Stay away’ from upcoming alt-right rally, counter-protest",http://www.dailycal.org/2017/08/17/city-berkeley-stay-away-scheduled-august-27-rallies/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/08/rally_jkilchling_file-copy-698x450.jpg,y,,,y,,
37,Cal basketball head coach Cuonzo Martin rumored to leave for Illinois head coach position,http://www.dailycal.org/2017/03/13/cal-basketball-head-coach-cuonzo-martin-rumored-leave-illinois-head-coach-position/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/03/martin_eepstein_file-900x580.jpg,y,,,,,
